,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
10,792.0,161.0,43.0,ema,StochAstic_k,0.6174204956633277,0.6263510908612726,5.0,398.0,2.0,4H,0.2449406272188616
11,811.0,316.0,4.0,sma,StochAstic_k,0.7012351973780401,0.6974451503018532,1.0,29.0,6.0,4H,0.2392455850747668
12,377.0,113.0,35.0,ema,StochAstic_k,0.5145628929508287,0.5254441994780388,5.0,364.0,6.0,4H,0.2052918373345707
13,293.0,135.0,19.0,sma,StochAstic_k,0.3598569123277528,0.3636956233469213,4.0,277.0,3.0,4H,0.2051810682356316
14,778.0,272.0,35.0,wma,StochAstic_d,0.8744694445014319,0.8742606156328557,1.0,385.0,9.0,4H,0.1828767577664268
15,487.0,435.0,13.0,sma,StochAstic_k,0.3359642257956486,0.3503450161343403,3.0,475.0,4.0,4H,0.1805453584219356
16,328.0,14.0,40.0,wma,StochAstic_d,0.6368255472239049,0.6290136196612183,5.0,224.0,27.0,4H,0.1776653983870956
17,362.0,309.0,30.0,wma,StochAstic_k,0.4018367837315685,0.4210464753937906,4.0,489.0,8.0,4H,0.1755940926345231
18,365.0,9.0,4.0,wma,StochAstic_d,0.3798875530500107,0.386786242717244,3.0,302.0,16.0,4H,0.1742379935123224
19,453.0,235.0,42.0,sma,StochAstic_k,0.3778611926432384,0.3727520705591294,1.0,497.0,3.0,4H,0.168555821872342
20,748.0,19.0,16.0,ema,StochAstic_d,0.5059001466421644,0.5058056222975796,3.0,192.0,10.0,4H,0.1663822479375634
21,487.0,348.0,27.0,sma,StochAstic_k,0.3757223004412588,0.3704102435819489,2.0,314.0,8.0,4H,0.1573630136639526
22,839.0,423.0,20.0,wma,StochAstic_k,0.52221024484713,0.5181505915510922,5.0,486.0,21.0,4H,0.1558869669625175
23,750.0,288.0,49.0,ema,StochAstic_d,0.9301652671184124,0.9512019442879291,6.0,137.0,39.0,4H,0.1523927407366633
24,464.0,168.0,23.0,sma,StochAstic_k,0.5504927028205753,0.5538560371515532,1.0,423.0,47.0,4H,0.1450049474118581
25,189.0,140.0,25.0,sma,StochAstic_d,0.5406485766008072,0.5244673156429828,2.0,473.0,23.0,4H,0.1415395566177987
26,774.0,63.0,5.0,wma,StochAstic_k,0.4493411928913193,0.4465422582249836,3.0,257.0,22.0,4H,0.1410984613790748
27,572.0,293.0,15.0,wma,StochAstic_d,0.8065440404219588,0.8026481925991188,4.0,187.0,60.0,4H,0.1373212569370663
28,358.0,54.0,2.0,ema,StochAstic_d,0.5028966313546812,0.5017198780094994,1.0,390.0,68.0,4H,0.1361382023132236
29,716.0,33.0,22.0,ema,StochAstic_k,0.3292997210535582,0.3190880005784112,6.0,154.0,7.0,4H,0.1361144896275692
30,425.0,317.0,42.0,ema,StochAstic_k,0.3007257654012931,0.299199017318229,6.0,104.0,4.0,4H,0.1360701753200168
31,684.0,21.0,6.0,sma,StochAstic_d,0.5418870724320775,0.5494530799632039,3.0,232.0,46.0,4H,0.1335497655181233
32,373.0,44.0,26.0,wma,StochAstic_d,0.6159445912543488,0.6111105122531019,2.0,392.0,136.0,4H,0.131201122370853
33,542.0,171.0,45.0,ema,StochAstic_k,0.5315250027972378,0.5264091502395174,5.0,216.0,49.0,4H,0.1308114335433259
34,207.0,182.0,38.0,sma,StochAstic_d,0.6188213286240744,0.5987594863008141,4.0,191.0,50.0,4H,0.1305137626845647
35,319.0,129.0,20.0,ema,StochAstic_d,0.7311283603394222,0.7437275927989013,3.0,310.0,79.0,4H,0.1295654393522612
36,427.0,183.0,45.0,sma,StochAstic_k,0.5986573329937616,0.5984650403727728,3.0,474.0,107.0,4H,0.1290593423216478
37,436.0,9.0,41.0,sma,StochAstic_k,0.3098640394090677,0.3377826837108977,3.0,326.0,16.0,4H,0.1279222781817599
38,825.0,147.0,41.0,ema,StochAstic_k,0.342322884376219,0.3591457065644483,1.0,29.0,10.0,4H,0.1252974400880573
39,859.0,266.0,38.0,ema,StochAstic_k,0.3583846040675297,0.3886374164979213,4.0,449.0,7.0,4H,0.1249320875455842
40,547.0,298.0,33.0,sma,StochAstic_k,0.3780069770657641,0.4230939338175615,6.0,188.0,48.0,4H,0.1242718089612414
41,397.0,351.0,30.0,ema,StochAstic_k,0.5839036389539203,0.5386932944672127,4.0,251.0,123.0,4H,0.1235789973476844
42,413.0,93.0,21.0,ema,StochAstic_k,0.5716827917473397,0.5253830491526433,6.0,484.0,138.0,4H,0.1216916581932327
43,814.0,515.0,30.0,sma,StochAstic_k,0.4001278766791024,0.4295127809838009,3.0,164.0,30.0,4H,0.1197820202665295
44,800.0,86.0,2.0,wma,StochAstic_k,0.6330736875968976,0.676786073198103,5.0,301.0,140.0,4H,0.1196708996622043
